校猎	jiao-lie
校样	jiao-yang
校度	jiao-du
校怨	jiao-yuan
校射	jiao-she
校计	jiao-ji
校饬	jiao-chi
校测	jiao-ce
校验	jiao-yan
校阅	jiao-yue
校正	jiao-zheng
校注	jiao-zhu
校准	jiao-zhun
栖栖	xi-xi
栖屑	xi-xie
栖遑	xi-huang
栖皇	xi-huang
栖惶	xi-huang
五棓	wu-bei
穆棱	mu-ling
楷树	jie-shu
槟榔	bing-lang
槛车	jian-che
牟平	mu-ping
犍为	qian-wei
欸乃	ai-nai
歙砚	she-yan
歙县	she-xian
晻晻	yan-yan
阏氏	yan-zhi
月氏	yue-zhi
流氓	liu-mang
禅让	shan-rang
刘禅	liu-shan
殷红	yan-hong
殷妍	yan-yan
一沓	yi-da
可恶	ke-wu
厌恶	yan-wu
好恶	hao-wu
恶劳	wu-lao
憎恶	zeng-wu
深恶	shen-wu
恶讪	wu-shan
曾孙	zeng-sun
曾祖	zeng-zu
杭育	hang-yo
脉脉	mo-mo
体胖	ti-pan
胸脯	xiong-pu
脯子	pu-zi
稽首	qi-shou
文种	wen-chong
腌臜	a-za
朝阳	zhao-yang
朝晖	zhao-hui
朝朝	zhao-zhao
朝暮	zhao-mu
朝霞	zhao-xia
朝气	zhao-qi
朝思	zhao-si
朝令	zhao-ling
朝秦	zhao-qin
今朝	jin-zhao
朝辞	zhao-ci
朝夕	zhao-xi
爪牙	zhao-ya
爪哇	zhao-wa
镐头	gao-tou
鸟事	diao-shi
鸟乱	diao-luan
瀑河	bao-he
湖泊	hu-po
水泊	shui-po
血泊	xue-po
泌阳	bi-yang
沉没	chen-mo
埋没	mai-mo
没落	mo-luo
淹没	yan-mo
没收	mo-shou
抄没	chao-mo
没世	mo-shi
没齿	mo-chi
隐没	yin-mo
出没	chu-mo
汤汤	shang-shang
提防	di-fang
提溜	di-liu
攒集	cuan-ji
攒射	cuan-she
攒动	cuan-dong
老挝	lao-wo
执拗	zhi-niu
尿脬	sui-pao
尿泡	sui-pao
壳牌	qiao-pai
地壳	di-qiao
脱壳	tuo-qiao
否泰	pi-tai
否极	pi-ji
倔强	jue-jiang
尉迟	yu-chi
迫击	pai-ji
吐蕃	tu-bo
自艾	zi-yi
起劲	qi-jin
费劲	fei-jin
劲力	jin-li
冒顿	mo-du
折本	she-ben
折秤	she-cheng
折耗	she-hao
折钱	she-qian
扒开	ba-kai
扒拉	ba-la
扒钉	ba-ding
扒车	ba-che
繁峙	fan-shi
星宿	xing-xiu
咀嚼	ju-jue
恐吓	kong-he
威吓	wei-he
句丽	gou-li
句践	gou-jian
委蛇	wei-yi
仿佛	fang-fu
哽咽	geng-ye
呜咽	wu-ye
吟哦	yin-e
哦吟	e-yin
伍员	wu-yun
膀胱	pang-guang
胳臂	ge-bei
的确	di-que
的当	di-dang
的的	di-di
的士	di-shi
之的	zhi-di
目的	mu-di
秘鲁	bi-lu
称心	chen-xin
称职	chen-zhi
相称	xiang-chen
匀称	yun-chen
对称	dui-chen
盛饭	cheng-fan
盛器	cheng-qi
省亲	xing-qin
反省	fan-xing
省察	xing-cha
省悟	xing-wu
深省	shen-xing
不省	bu-xing
行列	hang-lie
银行	yin-hang
排行	pai-hang
商行	shang-hang
行业	hang-ye
行规	hang-gui
行会	hang-hui
行话	hang-hua
行几	hang-ji
行家	hang-jia
行当	hang-dang
行距	hang-ju
行情	hang-qing
行市	hang-shi
行伍	hang-wu
行阵	hang-zhen
行子	hang-zi
同行	tong-hang
穿着	chuan-zhuo
着陆	zhuo-lu
着边	zhao-bian
附着	fu-zhuo
着眼	zhuo-yan
着笔	zhuo-bi
着色	zhuo-se
着力	zhuo-li
着想	zhuo-xiang
着意	zhuo-yi
着落	zhuo-luo
着即	zhuo-ji
着衣	zhuo-yi
着处	zhuo-chu
着地	zhuo-di
着棋	zhuo-qi
着床	zhuo-chuang
着墨	zhuo-mo
着手	zhuo-shou
着装	zhuo-zhuang
着重	zhuo-zhong
着凉	zhao-liang
着急	zhao-ji
着迷	zhao-mi
着火	zhao-huo
猜着	cai-zhao
着魔	zhao-mo
一着	yi-zhao
着法	zhao-fa
高着	gao-zhao
失着	shi-zhao
着着	zhao-zhao
着儿	zhao-er
失着	shi-zhao
着数	zhao-shu
角色	jue-se
主角	zhu-jue
角斗	jue-dou
名角	ming-jue
角力	jue-li
角逐	jue-zhu
配角	pei-jue
角抵	jue-di
畜产	xu-chan
畜牧	xu-mu
畜养	xu-yang
畜爱	xu-ai
畜置	xu-zhi
裨将	pi-jiang
关卡	guan-qia
卡脖	qia-bo
卡子	qia-zi
卡壳	qia-ke
卡具	qia-ju
乘舆	sheng-yu
千乘	qian-sheng
乘矢	sheng-shi
百乘	bai-sheng
十乘	shi-sheng
野乘	ye-sheng
史乘	shi-sheng
龙且	long-ju
且末	ju-mo
粘贴	zhan-tie
粘连	zhan-lian
粘合	zhao-he
色子	shai-zi
系泊	ji-bo
系鞋	ji-xie
系留	ji-liu
系绳	ji-sheng
系住	ji-zhu
系牢	ji-lao
系带	ji-dai
无臭	wu-xiu
乳臭	ru-xiu
臭败	xiu-bai
食其	yi-ji
解湖	xie-hu
莫邪	mo-ye
复辟	fu-bi
辟邪	bi-xie
辟除	bi-chu
刨床	bao-chuang
刨刀	bao-dao
刨光	bao-dao
刨花	bao-hua
刨身	bao-shen
刨头	bao-tou
刨子	bao-zi
削发	xue-fa
剥削	bo-xue
削除	xue-chu
削减	xue-jian
削弱	xue-ruo
削价	xue-jia
削铁	xue-tie
削足	xue-zu
食母	si-mu
食子	si-zi
食马	si-ma
食祭	si-ji
露白	lou-bai
露丑	lou-chou
露底	lou-di
露风	lou-feng
露富	lou-fu
露脸	lou-lian
露马	lou-ma
露面	lou-mian
露苗	lou-miao
露相	lou-xiang
露头	lou-tou
露一	lou-yi
露馅	lou-xian
雀子	qiao-zi
雀盲	qiao-mang
亟请	qi-qing
亟叹	qi-tan
龟兹	qiu-ci
勒脖	lei-bo
勒紧	lei-jin
什么	shen-me
伎俩	ji-liang
牛仔	niu-zai
肥仔	fei-zai
男仔	nan-zai
女仔	nv-zai
偈偈	jie-jie
单于	chan-yu
参差	cen-ci
人参	ren-shen
党参	dang-shen
洋参	yang-shen
丽参	li-shen
参茸	shen-rong
参商	shen-shang
参辰	shen-chen
传记	zhuan-ji
传略	zhuan-lue
传赞	zhuan-zan
作传	zuo-zhuan
左传	zuo-zhuan
立传	li-zhuan
浒传	hu-zhuan
小传	xiao-zhuan
纪传	ji-zhuan
自传	zi-zhuan
经传	jing-zhuan
三传	san-zhuan
强识	qiang-zhi
说服	shui-fu
游说	you-shui
调合	tiao-he
调羹	tiao-geng
调和	tiao-he
调剂	tiao-ji
调护	tiao-hu
调教	tiao-jiao
调价	tiao-jia
调节	tiao-jie
调解	tiao-jie
调理	tiao-li
调配	tiao-pei
调皮	tiao-pi
调频	tiao-pin
调幅	tiao-fu
调色	tiao-se
调试	tiao-shi
调唆	tiao-suo
调料	tiao-liao
调焦	tiao-jiao
调控	tiao-kong
调停	tiao-ting
调情	tiao-qing
调味	tiao-wei
调戏	tiao-xi
调笑	tiao-xiao
协调	xie-tiao
微调	wei-tiao
调整	tiao-zheng
调养	tiao-yang
调音	tiao-yin
调匀	tiao-yun
调高	tiao-gao
调低	tiao-di
调制	tiao-zhi
调准	tiao-zhun
调资	tiao-zi
调饥	zhou-ji
调档	tiao-dang
差人	chai-ren
差遣	chai-qian
差使	chai-shi
差事	chai-shi
公差	gong-chai
出差	chu-chai
小差	xiao-chai
兼差	jian-chai
差互	ci-hu
差间	ci-jian
弹射	tan-she
弹跳	tan-tiao
弹琴	tan-qin
弹劾	tan-he
弹纠	tan-jiu
讥弹	ji-tan
弹指	tan-zhi
弹奏	tan-zou
弹冠	tan-guan
弹拨	tan-bo
弹唱	tan-chang
弹词	tan-ci
弹簧	tan-huang
弹力	tan-li
弹棉	tan-mian
弹花	tan-hua
弹性	tan-xing
弹压	tan-ya
弹起	tan-qi
评弹	ping-tan
番茄	fan-qie
弄堂	long-tang
里弄	li-long
弄口	long-kou
呼吁	hu-yu
吁求	yu-qiu
吁天	yu-tian
度德	duo-de
度长	duo-chang
呵罗	ke-luo
呵叻	ke-le
搀和	chan-huo
搅和	jiao-huo
和弄	huo-nong
拌和	ban-huo
和稀	huo-xi
和面	huo-mian
和泥	huo-ni
和药	huo-yao
忖度	cun-duo
揣度	chuai-duo
度势	duo-shi
茄子	qie-zi
茄科	qie-ke
荥阳	xing-yang
荥经	ying-jing
莞莞	wan-wan
莞尔	wan-er
莞纳	wan-na
莞收	wan-shou
铅山	yan-shan
蚌埠	beng-bu
泌阳	bi-yang
吴堡	wu-bu
坻京	chi-jing
涡河	guo-he
渑水	sheng-shui
天姥	tian-mu
中牟	zhong-mu
蔚县	yu-xian
莘庄	xin-zhuang
单县	shan-xian
尉犁	yu-li
掸邦	shan-bang
掸族	shan-zu
薄片	bao-pian
薄饼	bao-bing
薄膜	bao-mo
薄层	bao-ceng
薄板	bao-ban
薄纱	bao-sha
西藏	xi-zang
藏族	zang-zu
藏民	zang-min
藏獒	zang-ao
藏传	zang-chuan
藏药	zang-yao
藏医	zang-yi
宝藏	bao-zang
道藏	dao-zang
三藏	san-zang
大藏	da-zang
